Kurskod,Kursnamn,Poäng,Ämne
"PROI2000X","Nivå 2","100","Produktionsutrustning"
"PROI3000X","Nivå 3","100","Produktionsutrustning"
"PROI4000X","Nivå 4","100","Produktionsutrustning"
"PROJ100TX","Nivå 1","100","Projektering – järnväg"
"PROK1N0","Nivå 1","100","Produktion i metall"
"PROK2N0","Nivå 2","100","Produktion i metall"
"PROK3N0","Nivå 3","100","Produktion i metall"
"PROL100TX","Nivå 1","100","Projektering – el"
"PRON100TX","Nivå 1","100","Produktionsstyrning – el"
"PROO100TX","Nivå 1","100","Produktionsfilosofi"
"PROO200TX","Nivå 2","100","Produktionsfilosofi"
"PROPRC01","Processmätteknik 1","100","Processautomation"
"PROPRC02","Processmätteknik 2","100","Processautomation"
"PROPRE0","Processreglering","100","Processautomation"
"PROPRO0","Processdatorsystem","100","Processautomation"
"PROR100TX","Nivå 1","100","Programmering för tekniska tillämpningar"
"PROR200TX","Nivå 2","100","Programmering för tekniska tillämpningar"
"PROS100TX","Nivå 1","100","Produktionsstyrning – VVS"
"PROT1N0","Nivå 1","200","Produktion i trä"
"PROT2N0","Nivå 2","200","Produktion i trä"
"PROT3N0","Nivå 3","200","Produktion i trä"
"PROT4N0","Nivå 4","100","Produktion i trä"
"PROU1000X","Nivå 1","100","Produktutveckling"
"PROU2000X","Nivå 2","100","Produktutveckling"
"PROV100TX","Nivå 1","100","Produktionsutveckling"
"PROV200TX","Nivå 2","100","Produktionsutveckling"
"PRRPRR01","Programmering 1","100","Programmering"
"PRRPRR02","Programmering 2","100","Programmering"
"PRRPRR33","Programmering 3","100","Programmering"
"PRUIND0","Industriell mätteknik – grund","50","Produktionsutrustning"
"PRUINE00S","Interna transporter","50","Produktionsutrustning"
"PRUINU0","Industriell mätteknik – fördjupning","50","Produktionsutrustning"
"PRUPRD01S","Produktionsutrustning 1","100","Produktionsutrustning"
"PRUPRD02S","Produktionsutrustning 2","100","Produktionsutrustning"
"PRUPRD03S","Produktionsutrustning 3","100","Produktionsutrustning"
"PRUPRD04","Produktionsutrustning 4","100","Produktionsutrustning"
"PRUVEY0","Verktygskunskap","100","Produktionsutrustning"
"PSKPSY01","Psykologi 1","50","Psykologi"
"PSKPSY02a","Psykologi 2a","50","Psykologi"
"PSKPSY02b","Psykologi 2b","50","Psykologi"
"PSYK1000X","Nivå 1","100","Psykiatri"
"PSYK2000X","Nivå 2","100","Psykiatri"
"PSYL1000X","Nivå 1","50","Psykologi"
"PSYL2000X","Nivå 2","50","Psykologi"
"PSYL3000X","Nivå 3","100","Psykologi"
"PSYO1000X","Nivå 1","100","Psykologi – fördjupning"
"PSYPSK02","Psykiatri 2","100","Psykiatri"
"PSYPSY01","Psykiatri 1","100","Psykiatri"
"RATRAT0","Rättspsykiatri","100","Rättspsykiatri"
"RATT1000X","Nivå 1","100","Rättspsykiatri"
"RECLOG0","Logi","100","Reception"
"RECREC01","Reception 1","100","Reception"
"RECREC02","Reception 2","100","Reception"
"RECREC03","Reception 3","100","Reception"
"REDO1000X","Nivå 1","100","Redovisning"
"REDO2000X","Nivå 2","100","Redovisning"
"REGE100TX","Nivå 1","100","Reglersystem"
"REGI1000X","Nivå 1","100","Regi"
"REGSTA0","Städservice","100","Rengöringsservice"
"REIREL51","Religionskunskap 1","50","Religionskunskap"
"REIREL52","Religionskunskap 2","100","Religionskunskap"
"REIREL53","Religionskunskap 3","100","Religionskunskap"
"RELG1N0","Nivå 1","50","Religionskunskap"
"RELG2N0","Nivå 2","100","Religionskunskap"
"RELG3N0","Nivå 3","100","Religionskunskap"
"RELI1000X","Nivå 1","50","Religionskunskap"
"RELI2000X","Nivå 2","50","Religionskunskap"
"RELO1000X","Nivå 1","100","Religionskunskap – fördjupning"
"RELREL0","Religionskunskap – specialisering","100","Religionskunskap"
"RELREL01","Religionskunskap 1","50","Religionskunskap"
"RELREL02","Religionskunskap 2","50","Religionskunskap"
"RENA1000X","Nivå 1","100","Rennäring"
"RENA2000X","Nivå 2","100","Rennäring"
"RENN1000X","Nivå 1","100","Renen och dess naturmiljö"
"RENREE01","Renen och rennäringen 1","100","Rennäring"
"RENREE02","Renen och rennäringen 2","100","Rennäring"
"RENREN01","Renen och dess naturmiljö 1","100","Rennäring"
"RENREN02","Renen och dess naturmiljö 2","100","Rennäring"
"REPE1000X","Nivå 1","100","Repertoar"
"REPPEO0","Personbilar – chassi och bromsar","100","Personbilar – reparations- och systemteknik"
"REPPER0","Personbilar – förbränningsmotorer","100","Personbilar – reparations- och systemteknik"
"REPPER01","Personbilar – system- och diagnosteknik 1","200","Personbilar – reparations- och systemteknik"
"REPPER02","Personbilar – system- och diagnosteknik 2","100","Personbilar – reparations- och systemteknik"
"REPPES0","Personbilar – kraftöverföring","100","Personbilar – reparations- och systemteknik"
"RESE1000X","Nivå 1","100","Reservkraftsystem"
"RESE2000X","Nivå 2","100","Reservkraftsystem"
"RESHAL0","Hållbar turism","100","Reseproduktion och marknadsföring"
"RESMAS0","Marknadsföring och försäljning","100","Reseproduktion och marknadsföring"
"RESO1000X","Nivå 1","100","Resor och destinationer"
"RESO2000X","Nivå 2","100","Resor och destinationer"
"RESO3000X","Nivå 3","100","Resor och destinationer"
"RESREM0","Resmål och resvägar","100","Reseproduktion och marknadsföring"
"RESRES0","Reseproduktion och försäljning","100","Reseproduktion och marknadsföring"
"RETO1000X","Nivå 1","100","Retorik"
"RETR1000X","Nivå 1","100","Retorik på engelska"
"RIDI1N0","Nivå 1","100","Ridning"
"RIDI2N0","Nivå 2","100","Ridning"
"RIDN1000X","Nivå 1","100","Ridning"
"RIDN2000X","Nivå 2","100","Ridning"
"RIDN3000X","Nivå 3","100","Ridning"
"RIDN4000X","Nivå 4","100","Ridning"
"RINKOR01","Körning 1","100","Ridning och körning"
"RINKOR02","Körning 2","100","Ridning och körning"
"RINRID0","Ridning och körning","200","Ridning och körning"
"RINRID01","Ridning 1","100","Ridning och körning"
"RINRID02","Ridning 2","100","Ridning och körning"
"RINRIN0","Ridning för ridlärare","100","Ridning och körning"
"RITO100TX","Nivå 1","100","Rit- och mätningsteknik"
"ROAW1N0","Nivå 1","100","Modersmål – romani chib som andraspråk (nybörjare)"
"ROAW2N0","Nivå 2","100","Modersmål – romani chib som andraspråk (nybörjare)"
"ROAX1N0","Nivå 1","100","Modersmål – romani chib som förstaspråk"
"ROAX2N0","Nivå 2","100","Modersmål – romani chib som förstaspråk"
"ROAY1N0","Nivå 1","100","Modersmål – romani chib som andraspråk (fortsättning)"
"ROAY2N0","Nivå 2","100","Modersmål – romani chib som andraspråk (fortsättning)"
"ROBO1000X","Nivå 1","100","Robotteknik"
"ROJO1N0","Nivå 1","100","Röjmotorsåg"
"ROMW1000X","Nivå 1","100","Modersmål – romani chib som andraspråk (nybörjare)"
"ROMW2000X","Nivå 2","100","Modersmål – romani chib som andraspråk (nybörjare)"
"ROMW3000X","Nivå 3","100","Modersmål – romani chib som andraspråk (nybörjare)"
"ROMX1000X","Nivå 1","100","Modersmål – romani chib som förstaspråk"
"ROMX2000X","Nivå 2","100","Modersmål – romani chib som förstaspråk"
"ROMX3000X","Nivå 3","100","Modersmål – romani chib som förstaspråk"
"ROMY1000X","Nivå 1","100","Modersmål – romani chib som andraspråk (fortsättning)"
"ROMY2000X","Nivå 2","100","Modersmål – romani chib som andraspråk (fortsättning)"
"ROMY3000X","Nivå 3","100","Modersmål – romani chib som andraspråk (fortsättning)"
"ROST1000X","Nivå 1","100","Röst"
"RYTM1000X","Nivå 1","100","Rytmik"
"SAAKÄL01S","Kälsvets 1","100","Sammanfogningsteknik"
"SAAKÄL02S","Kälsvets 2","100","Sammanfogningsteknik"
"SAARÖR01S","Rörsvets 1","100","Sammanfogningsteknik"
"SAARÖR02S","Rörsvets 2","100","Sammanfogningsteknik"
"SAASAA0","Sammanfogning","100","Sammanfogningsteknik"
"SAASTU01S","Stumsvets 1","100","Sammanfogningsteknik"
"SAASTU02S","Stumsvets 2","100","Sammanfogningsteknik"
"SAASVT0","Svets grund","100","Sammanfogningsteknik"
"SAESAM0","Samernas kultur och historia","100","Samernas kultur och historia"
"SAHBIM3","BIM-samordning","100","Samhällsbyggande"
"SAHBYC3","Byggprocessen","100","Samhällsbyggande"
"SAHBYV0","Byggnadsverk","100","Samhällsbyggande"
"SAHMIL3","Miljöcertifierade hus","100","Samhällsbyggande"
"SAISAM0","Samisk hantverkskultur","50","Samiskt hantverk"
"SAISAM01S","Samiskt hantverk 1","100","Samiskt hantverk"
"SAISAM02S","Samiskt hantverk 2","100","Samiskt hantverk"
"SAISAM03S","Samiskt hantverk 3","100","Samiskt hantverk"
"SAISAM04","Samiskt hantverk 4","100","Samiskt hantverk"
"SAISAM05","Samiskt hantverk 5","100","Samiskt hantverk"
"SAIW1N0","Nivå 1","100","Modersmål – samiska som andraspråk (nybörjare)"
"SAIW2N0","Nivå 2","100","Modersmål – samiska som andraspråk (nybörjare)"
"SAIX1N0","Nivå 1","100","Modersmål – samiska som förstaspråk"
"SAIX2N0","Nivå 2","100","Modersmål – samiska som förstaspråk"
"SAIY1N0","Nivå 1","100","Modersmål – samiska som andraspråk (fortsättning)"
"SAIY2N0","Nivå 2","100","Modersmål – samiska som andraspråk (fortsättning)"
"SAKE1000X","Nivå 1","100","Säkerhetssystem"
"SAKE2000X","Nivå 2","100","Säkerhetssystem"
"SAKE3000X","Nivå 3","100","Säkerhetssystem"
"SAKSAL50S","Sällskapsdjur – specialområde","100","Sällskapsdjur"
"SAKSAL51","Sällskapsdjur 1","100","Sällskapsdjur"
"SAKSAL52","Sällskapsdjur 2","100","Sällskapsdjur"
"SALARB5","Samhällskunskap – arbetslivets villkor","100","Samhällskunskap"
"SALL1000X","Nivå 1","200","Sällskapsdjur"
"SALL2000X","Nivå 2","100","Sällskapsdjur"
"SALS1N0","Nivå 1","100","Sällskapsdjur"
"SALS2N0","Nivå 2","200","Sällskapsdjur"
"SALSAM51","Samhällskunskap 1","50","Samhällskunskap"
"SALSAM52","Samhällskunskap 2","100","Samhällskunskap"
"SALSAM53","Samhällskunskap 3","100","Samhällskunskap"
"SALTRA5","Trafikantkunskap","100","Samhällskunskap"
"SAMA1N0","Nivå 1","100","Sammanfogningsteknik"
"SAMA2N0","Nivå 2","100","Sammanfogningsteknik"
"SAMD100DX","Nivå 1","200","Samtida dans"
"SAMD200DX","Nivå 2","200","Samtida dans"
"SAMD300DX","Nivå 3","200","Samtida dans"
"SAMH1A10X","Nivå 1a1","50","Samhällskunskap"
"SAMH1A20X","Nivå 1a2","50","Samhällskunskap"
"SAMH1B00X","Nivå 1b","100","Samhällskunskap"
"SAMH2000X","Nivå 2","100","Samhällskunskap"
"SAMH3000X","Nivå 3","100","Samhällskunskap"
"SAMI1000X","Nivå 1","100","Samisk mat och matkultur"
"SAMINE0","Internationell ekonomi","100","Samhällskunskap"
"SAMINR0","Internationella relationer","100","Samhällskunskap"
"SAMK1000X","Nivå 1","100","Samiskt hantverk"
"SAMK2000X","Nivå 2","200","Samiskt hantverk"
"SAMK3000X","Nivå 3","200","Samiskt hantverk"
"SAML1N0","Nivå 1","50","Samhällskunskap"
"SAML2N0","Nivå 2","100","Samhällskunskap"
"SAML3N0","Nivå 3","100","Samhällskunskap"
"SAMM1000X","Nivå 1","100","Sammanfogning"
"SAMR1000X","Nivå 1","100","Samernas kultur och historia"
"SAMS1000X","Nivå 1","50","Samisk hantverkskultur"
"SAMSAM01a1","Samhällskunskap 1a1","50","Samhällskunskap"
"SAMSAM01a2","Samhällskunskap 1a2","50","Samhällskunskap"
"SAMSAM01b","Samhällskunskap 1b","100","Samhällskunskap"
"SAMSAM02","Samhällskunskap 2","100","Samhällskunskap"
"SAMSAM03","Samhällskunskap 3","100","Samhällskunskap"
"SAMW1000X","Nivå 1","100","Modersmål – samiska som andraspråk (nybörjare)"
"SAMW2000X","Nivå 2","100","Modersmål – samiska som andraspråk (nybörjare)"
"SAMW3000X","Nivå 3","100","Modersmål – samiska som andraspråk (nybörjare)"
"SAMX1000X","Nivå 1","100","Modersmål – samiska som förstaspråk"
"SAMX2000X","Nivå 2","100","Modersmål – samiska som förstaspråk"
"SAMX3000X","Nivå 3","100","Modersmål – samiska som förstaspråk"
"SAMY1000X","Nivå 1","100","Modersmål – samiska som andraspråk (fortsättning)"
"SAMY2000X","Nivå 2","100","Modersmål – samiska som andraspråk (fortsättning)"
"SAMY3000X","Nivå 3","100","Modersmål – samiska som andraspråk (fortsättning)"
"SASSAM0","Samisk mat och matkultur","100","Samisk mat och matkultur"
"SCEI1000X","Nivå 1","100","Scenisk gestaltning"
"SCEI2000X","Nivå 2","100","Scenisk gestaltning"
"SCEI3000X","Nivå 3","100","Scenisk gestaltning"
"SCEK100DX","Nivå 1","100","Scenisk verksamhet – samtida dans"
"SCEK200DX","Nivå 2","100","Scenisk verksamhet – samtida dans"
"SCEK300DX","Nivå 3","100","Scenisk verksamhet – samtida dans"
"SCEN1000X","Nivå 1","100","Scenisk design"
"SCEN2000X","Nivå 2","100","Scenisk design"
"SCES1000X","Nivå 1","100","Sceniskt karaktärsarbete"
"SCES2000X","Nivå 2","100","Sceniskt karaktärsarbete"
"SCEV100DX","Nivå 1","100","Scenisk verksamhet – klassisk balett"
"SCEV200DX","Nivå 2","100","Scenisk verksamhet – klassisk balett"
"SCEV300DX","Nivå 3","100","Scenisk verksamhet – klassisk balett"
"SECSER51","Service och bemötande 1","100","Service och bemötande"
"SECSER52","Service och bemötande 2","100","Service och bemötande"
"SEEFRU51","Frukost- och bufféservering 1","100","Serveringskunskap"
"SEEFRU52","Frukost- och bufféservering 2","100","Serveringskunskap"
"SEESER51","Servering 1","100","Serveringskunskap"
"SEESER52","Servering 2","100","Serveringskunskap"
"SEESER53","Servering 3","100","Serveringskunskap"
"SEISEI01","Serviceteknik – naturbruk 1","100","Serviceteknik – naturbruk"
"SEISEI02","Serviceteknik – naturbruk 2","100","Serviceteknik – naturbruk"
"SEISER00S","Serviceteknik – naturbruk – specialisering","100","Serviceteknik – naturbruk"
"SEOPEB0","Personbilar – basteknik","100","Personbilar – service och underhållsteknik"
"SEOPER0","Personbilar – verkstad och elteknik","100","Personbilar – service och underhållsteknik"
"SEOPER01","Personbilar – service och underhåll 1","100","Personbilar – service och underhållsteknik"
"SEOPER02","Personbilar – service och underhåll 2","100","Personbilar – service och underhållsteknik"
"SERARR0","Arrangemang","100","Serveringskunskap"
"SERC1N0","Nivå 1","100","Service och bemötande"
"SERE1N0","Nivå 1","100","Servering"
"SERE2N0","Nivå 2","100","Servering"
"SERE3N0","Nivå 3","200","Servering"
"SERFRU0","Frukost och bufféservering","100","Serveringskunskap"
"SERH100TX","Nivå 1","100","Serverhantering och informationstjänster"
"SERH200TX","Nivå 2","100","Serverhantering och informationstjänster"
"SERI1000X","Nivå 1","100","Serviceteknik – naturbruk"
"SERI2000X","Nivå 2","100","Serviceteknik – naturbruk"
"SERI3000X","Nivå 3","100","Serviceteknik – naturbruk"
"SERMAF0","Matsalshantverk","100","Serveringskunskap"
"SERR1000X","Nivå 1","100","Servering"
"SERR2000X","Nivå 2","100","Servering"
"SERR3000X","Nivå 3","200","Servering"
"SERR4000X","Nivå 4","200","Servering"
"SERR5000X","Nivå 5","200","Servering"
"SERSER00S","Servering – specialisering","100","Serveringskunskap"
"SERSER01","Servering 1","100","Serveringskunskap"
"SERSER02","Servering 2","200","Serveringskunskap"
"SERV1000X","Nivå 1","100","Service och bemötande"
"SEVSEV01","Service och bemötande 1","100","Service och bemötande"
"SEVSEV02","Service och bemötande 2","100","Service och bemötande"
"SFIKUA9","Kurs A","null","Kursplan för kommunal vuxenutbildning i svenska för invandrare"
"SFIKUB9","Kurs B","null","Kursplan för kommunal vuxenutbildning i svenska för invandrare"
"SFIKUC9","Kurs C","null","Kursplan för kommunal vuxenutbildning i svenska för invandrare"
"SFIKUD9","Kurs D","null","Kursplan för kommunal vuxenutbildning i svenska för invandrare"
"SIGN1000X","Nivå 1","200","Signalteknik – järnväg"
"SIMN1000X","Nivå 1","100","Siminstruktör"
"SJOA1000X","Nivå 1","100","Sjöfartssäkerhet"
"SJOA2000X","Nivå 2","200","Sjöfartssäkerhet"
"SJOGRN0","Grundläggande säkerhet","100","Sjöfartssäkerhet"
"SJOSAE0","Säkerhet och miljö","200","Sjöfartssäkerhet"
"SKAA1N0","Nivå 1","100","Skärande bearbetning"
"SKAA2N0","Nivå 2","100","Skärande bearbetning"
"SKAG1000X","Nivå 1","100","Skärgårdsnavigation"
"SKBSKO0","Skogsbruksmaskinsteknik","100","Skogsbruksmaskinsteknik"
"SKESKO51","Skötsel av utemiljöer 1","100","Skötsel av utemiljöer"
"SKESKO52","Skötsel av utemiljöer 2","100","Skötsel av utemiljöer"
"SKESKO53","Skötsel av utemiljöer 3","100","Skötsel av utemiljöer"
"SKGSKG00S","Skogsskötsel – specialisering","100","Skogsproduktion"
"SKGSKO01","Skogsskötsel 1","100","Skogsproduktion"
"SKGSKO02","Skogsskötsel 2","100","Skogsproduktion"
"SKGVIK0","Virkesmätning","100","Skogsproduktion"
"SKGVIR0","Virkeslära","100","Skogsproduktion"
"SKMAVV0","Avverkningsmaskiner","100","Skogsmaskiner"
"SKMSKO00S","Skogsmaskiner – specialisering","200","Skogsmaskiner"
"SKMSMA0","Småskalig skogsteknik","100","Skogsmaskiner"
"SKMTER0","Terrängtransporter","100","Skogsmaskiner"
"SKMVIE0","Virkestransport med skotare","100","Skogsmaskiner"
"SKOB1N0","Nivå 1","100","Skogsbruk"
"SKOB2N0","Nivå 2","200","Skogsbruk"
"SKOE1N0","Nivå 1","100","Skötsel av utemiljöer"
"SKOE2N0","Nivå 2","200","Skötsel av utemiljöer"
"SKOFIS01","Fiske och vattenvård 1","100","Skog, mark och vatten"
"SKOFIS02","Fiske och vattenvård 2","200","Skog, mark och vatten"
"SKOG1000X","Nivå 1","100","Skogsbruksmaskinsteknik"
"SKOJAK00S","Jakt och viltvård – specialisering","100","Skog, mark och vatten"
"SKOJAK01","Jakt och viltvård 1","100","Skog, mark och vatten"
"SKOJAK02","Jakt och viltvård 2","200","Skog, mark och vatten"
"SKOM1000X","Nivå 1","100","Skogsmaskiner"
"SKOM2000X","Nivå 2","100","Skogsmaskiner"
"SKOM3000X","Nivå 3","200","Skogsmaskiner"
"SKOMÅN0","Mångbruk av skog","100","Skog, mark och vatten"
"SKOS1000X","Nivå 1","100","Skogsproduktion"
"SKOS2000X","Nivå 2","100","Skogsproduktion"
"SKOS3000X","Nivå 3","200","Skogsproduktion"
"SKOT1000X","Nivå 1","200","Skötsel av utemiljöer"
"SKOT2000X","Nivå 2","100","Skötsel av utemiljöer"
"SKOV1000X","Nivå 1","100","Skogsvård"
"SKOV2000X","Nivå 2","100","Skogsvård"
"SKOV3000X","Nivå 3","100","Skogsvård"
"SKSSKG51","Skogsbruk 1","100","Skogsbruk"
"SKSSKG52","Skogsbruk 2","100","Skogsbruk"
"SKSSKG53","Skogsbruk 3","100","Skogsbruk"
"SKÖBEK0","Beskärning och trädvård","100","Skötsel av utemiljöer"
"SKÖSKÖ0","Skötsel av utemiljöer","100","Skötsel av utemiljöer"
"SKÖSKÖ00S","Skötsel av utemiljöer – specialisering","100","Skötsel av utemiljöer"
"SMAS1000X","Nivå 1","100","Småskalig skogsteknik"
"SNOF1000X","Nivå 1","200","Snöfordon – service och underhållsteknik"
"SNOF2000X","Nivå 2","200","Snöfordon – service och underhållsteknik"
"SNOI1000X","Nivå 1","100","Snötillverkning"
"SNOK1000X","Nivå 1","100","Snöskotrar – reparations- och systemteknik"
"SNOK2000X","Nivå 2","100","Snöskotrar – reparations- och systemteknik"
"SNOPIM0","Pistmaskiner och utrustning","200","Snöfordonsteknik"
"SNOPIS0","Pistmaskinkörning","100","Snöfordonsteknik"
"SNOREE0","Reparation av snöskoter","100","Snöfordonsteknik"
"SNOREP0","Reparation av snöfordon","300","Snöfordonsteknik"
"SNOSNO0","Snöfordon – introduktion","200","Snöfordonsteknik"
"SOASOC0","Socialpedagogik","100","Social omsorg"
"SOASOC01","Social omsorg 1","100","Social omsorg"
"SOASOC02","Social omsorg 2","100","Social omsorg"
"SOCA1000X","Nivå 1","100","Socialt arbete"
"SOCA2000X","Nivå 2","100","Socialt arbete"
"SOCI1000X","Nivå 1","100","Sociologi"
"SOCI2000X","Nivå 2","100","Sociologi"
"SOCL1000X","Nivå 1","100","Social omsorg"
"SOCL2000X","Nivå 2","100","Social omsorg"
"SOCSOC01","Socialt arbete 1","100","Socialt arbete"
"SOCSOC02","Socialt arbete 2","100","Socialt arbete"
"SOIETN0","Etnicitet och kulturmöten","100","Sociologi"
"SOISOO0","Sociologi","100","Sociologi"
"SOIUNG0","Ungdomskulturer","100","Sociologi"
"SOLC1000X","Nivå 1","200","Solcellsmontering"
"SOLE1000X","Nivå 1","100","Solcellsteknik"
"SOLE2000X","Nivå 2","100","Solcellsteknik"
"SOMF1000X","Nivå 1","200","Sömnad – fördjupning"
"SOMF2000X","Nivå 2","200","Sömnad – fördjupning"
"SOMF3000X","Nivå 3","200","Sömnad – fördjupning"
"SOMF4000X","Nivå 4","100","Sömnad – fördjupning"
"SPAD1000X","Nivå 1","200","Spårfordon – ellära och elteknik"
"SPAF1000X","Nivå 1","200","Spårfordon – elkraft och traktion"
"SPAN1000X","Nivå 1","200","Spårfordon – systemteknik"
"SPAO1000X","Nivå 1","200","Spårfordon – elektronik"
"SPAR1000X","Nivå 1","200","Spårfordon – programmerbara system"
"SPAT1000X","Nivå 1","100","Spårfordon – trafikövervaknings- och signalsystem"
"SPAU1000X","Nivå 1","200","Spårfordon – underhållsteknik"
"SPAXXX0","Språk specialisering – skrivande","100","Språk specialisering"
"SPAXXX01a","Språk specialisering – retorik 1a","50","Språk specialisering"
"SPAXXX01b","Språk specialisering – retorik 1b","100","Språk specialisering"
"SPAY1000X","Nivå 1","200","Spårfordon – yrkesteknik"
"SPCSPE01","Specialpedagogik 1","100","Specialpedagogik"
"SPCSPE02","Specialpedagogik 2","100","Specialpedagogik"
"SPEA1N0I","Nivå 1","200","Specialidrott"
"SPEA2N0I","Nivå 2","100","Specialidrott"
"SPEA3N0I","Nivå 3","100","Specialidrott"
"SPEC100IX","Nivå 1","200","Specialidrott"
"SPEC200IX","Nivå 2","100","Specialidrott"
"SPEC300IX","Nivå 3","100","Specialidrott"
"SPEI1000X","Nivå 1","100","Specialpedagogik"
"SPEI2000X","Nivå 2","100","Specialpedagogik"
"SPEIDS31","Idrottsspecialisering 1","100","Specialidrott"
"SPEIDS32","Idrottsspecialisering 2","100","Specialidrott"
"SPEIDS33","Idrottsspecialisering 3","100","Specialidrott"
"SPEIDT3","Idrottsledarskap","100","Specialidrott"
"SPETRA31","Tränings- och tävlingslära 1","100","Specialidrott"
"SPETRA32","Tränings- och tävlingslära 2","100","Specialidrott"
"SPETRA33","Tränings- och tävlingslära 3","100","Specialidrott"
"SPISPE51","Specialidrott 1","100","Specialidrott"
"SPISPE52","Specialidrott 2","100","Specialidrott"
"SPISPE53","Specialidrott 3","100","Specialidrott"
"SPITRA51","Tränings- och tävlingslära 1","100","Specialidrott"
"SPITRA52","Tränings- och tävlingslära 2","100","Specialidrott"
"SPNSPR01","Sprinklerteknik 1","100","Sprinklerteknik"
"SPNSPR02","Sprinklerteknik 2","100","Sprinklerteknik"
"SPOSPA0","Spårfordon – grund","150","Spårfordon"
"SPRI1000X","Nivå 1","200","Sprinklerteknik"
"SPRO1000X","Nivå 1","100","Språk- och kunskapsutveckling i förskolan och fritidshemmet"
"STAD1000X","Nivå 1","100","Städservice"
"STAL1000X","Nivå 1","100","Ställningsbyggnad"
"STAL2000X","Nivå 2","200","Ställningsbyggnad"
"STAL3000X","Nivå 3","100","Ställningsbyggnad"
"STCFIN0","Finstyckning","100","Styckningskunskap"
"STCSTY00S","Styckning – specialisering","100","Styckningskunskap"
"STCSTY01","Styckning 1","100","Styckningskunskap"
"STCSTY02","Styckning 2","100","Styckningskunskap"
"STCSTY03","Styckning 3","200","Styckningskunskap"
"STCSTY04","Styckning 4","100","Styckningskunskap"
"STEN1000X","Nivå 1","200","Stenmontering"
"STEN2000X","Nivå 2","200","Stenmontering"
"STES1000X","Nivå 1","200","Stensättning"
"STYK1000X","Nivå 1","100","Styckning"
"STYK2000X","Nivå 2","200","Styckning"
"STYK3000X","Nivå 3","200","Styckning"
"STYK4000X","Nivå 4","200","Styckning"
"STYR1000X","Nivå 1","100","Styrteknik"
"STYR2000X","Nivå 2","100","Styrteknik"
"SUPKUN0","Kundmottagning och reservdelshantering","100","Support och servicearbete"
"SUPP1000X","Nivå 1","100","Support och servicearbete"
"SUPP2000X","Nivå 2","100","Support och servicearbete"
"SUPP3000X","Nivå 3","100","Support och servicearbete"
"SUPSER0","Service och reparationsarbete","100","Support och servicearbete"
"SUPSUP0","Support och hemservice","100","Support och servicearbete"
"SVAN1N0","Nivå 1","200","Svenska som andraspråk"
"SVAN2N0","Nivå 2","100","Svenska som andraspråk"
"SVASVA01","Svenska som andraspråk 1","100","Svenska som andraspråk"
"SVASVA02","Svenska som andraspråk 2","100","Svenska som andraspråk"
"SVASVA03","Svenska som andraspråk 3","100","Svenska som andraspråk"
"SVBLIT5","Litteratur","100","Svenska"
"SVBSKR5","Skrivande","100","Svenska"
"SVBSVE51","Svenska 1","200","Svenska"
"SVBSVE52","Svenska 2","100","Svenska"
"SVEA1000X","Nivå 1","100","Svenska som andraspråk"
"SVEA2000X","Nivå 2","100","Svenska som andraspråk"
"SVEA3000X","Nivå 3","100","Svenska som andraspråk"
"SVED1000X","Nivå 1","100","Svenska för döva"
"SVED2000X","Nivå 2","100","Svenska för döva"
"SVED3000X","Nivå 3","100","Svenska för döva"
"SVEE1000X","Nivå 1","100","Svetsteknik"
"SVEE2000X","Nivå 2","100","Svetsteknik"
"SVEF1000X","Nivå 1","100","Svenskt teckenspråk för hörande – fördjupning"
"SVEF2000X","Nivå 2","100","Svenskt teckenspråk för hörande – fördjupning"
"SVEF3000X","Nivå 3","100","Svenskt teckenspråk för hörande – fördjupning"
"SVEG1000X","Nivå 1","100","Svenskt teckenspråk för hörande – grund"
"SVEI1000X","Nivå 1","200","Svetsmetod TIG"
"SVEI2000X","Nivå 2","200","Svetsmetod TIG"
"SVEI3000X","Nivå 3","200","Svetsmetod TIG"
"SVEK1000X","Nivå 1","100","Svenskt teckenspråk"
"SVEK2000X","Nivå 2","100","Svenskt teckenspråk"
"SVEK3000X","Nivå 3","100","Svenskt teckenspråk"
"SVELIT0","Litteratur","100","Svenska"
"SVEM1000X","Nivå 1","200","Svetsmetod MIG/MAG"
"SVEM2000X","Nivå 2","200","Svetsmetod MIG/MAG"
"SVEM3000X","Nivå 3","200","Svetsmetod MIG/MAG"
"SVEN1000X","Nivå 1","100","Svenska"
"SVEN2000X","Nivå 2","100","Svenska"
"SVEN3000X","Nivå 3","100","Svenska"
"SVEO1000X","Nivå 1","100","Svenskt teckenspråk för hörande – fortsättning"
"SVEO2000X","Nivå 2","100","Svenskt teckenspråk för hörande – fortsättning"
"SVERET0","Retorik","100","Svenska"
"SVES1N0","Nivå 1","200","Svenska"
"SVES2N0","Nivå 2","100","Svenska"
"SVESKR0","Skrivande","100","Svenska"
"SVESVE01","Svenska 1","100","Svenska"
"SVESVE02","Svenska 2","100","Svenska"
"SVESVE03","Svenska 3","100","Svenska"
"SVET1N0","Nivå 1","100","Svenskt teckenspråk"
"SVET2N0","Nivå 2","100","Svenskt teckenspråk"
"SVEY1000X","Nivå 1","100","Svenskt teckenspråk för hörande – nybörjare"
"SVKSVE0","Svenskt teckenspråk – aktiv tvåspråkighet","100","Svenskt teckenspråk"
"SVKSVK01","Svenskt teckenspråk 1","100","Svenskt teckenspråk"
