Kurskod,Kursnamn,Poäng,Ämne
"GODN1000X","Nivå 1","100","Godshantering – hjullastare"
"GODO1000X","Nivå 1","100","Godstransporter – container och återvinning"
"GODP1000X","Nivå 1","100","Godstransporter – anläggning"
"GODR1000X","Nivå 1","100","Godstransporter – sug- och spolbil"
"GODS100VX","Nivå 1","200","Godstransporter – vux"
"GODT1000X","Nivå 1","100","Godstransporter – specialtransport"
"GODTUN0","Tunga arbetsmaskiner","200","Godshantering"
"GOHGOD51","Godshantering 1","200","Godshantering"
"GOHGOD52","Godshantering 2","100","Godshantering"
"GOHGOS5","Godshantering – truck","100","Godshantering"
"GOLGOL01","Golvläggning 1","100","Golvläggning"
"GOLGOL02","Golvläggning 2 – våtrum","100","Golvläggning"
"GOLGOL03","Golvläggning 3 – trä och laminat","200","Golvläggning"
"GOLV1000X","Nivå 1","100","Golvläggning"
"GOLV2000X","Nivå 2","100","Golvläggning"
"GOLV3000X","Nivå 3","200","Golvläggning"
"GOSGOD0","Godstrafik","200","Godstransporter"
"GOSGOD00S","Godstransporter – specialisering","100","Godstransporter"
"GOSLAL0","Lastbilsmonterad kran","100","Godstransporter"
"GOST1000X","Nivå 1","100","Godstransporter"
"GOST2000X","Nivå 2","200","Godstransporter"
"GRAF1000X","Nivå 1","100","Grafisk illustration"
"GRAF2000X","Nivå 2","100","Grafisk illustration"
"GRAF3000X","Nivå 3","100","Grafisk illustration"
"GRAGRA0","Grafiska arbetsflöden och analysmodeller","100","Grafisk kommunikation"
"GRAGRA01","Grafisk kommunikation 1","100","Grafisk kommunikation"
"GRAGRA02","Grafisk kommunikation 2","100","Grafisk kommunikation"
"GRAGRI0","Grafisk illustration","100","Grafisk kommunikation"
"GRAGRP0","Grafisk illustration i pixelgrafik","100","Grafisk kommunikation"
"GRAGRR0","Original, reproduktion och prepress","100","Grafisk kommunikation"
"GRAGRV0","Grafisk illustration i vektorgrafik","100","Grafisk kommunikation"
"GRAI1000X","Nivå 1","100","Grafisk kommunikation"
"GRAI2000X","Nivå 2","100","Grafisk kommunikation"
"GRAI3000X","Nivå 3","100","Grafisk kommunikation"
"GRAN1000X","Nivå 1","100","Gränssnittsdesign"
"GRAN2000X","Nivå 2","100","Gränssnittsdesign"
"GRAS1000X","Nivå 1","100","Grafisk produktion"
"GRAS2000X","Nivå 2","100","Grafisk produktion"
"GRAS3000X","Nivå 3","100","Grafisk produktion"
"GRAV1000X","Nivå 1","200","Grävmaskiner"
"GRFGRF01","Grafisk produktion 1","100","Grafisk produktion"
"GRFGRF02","Grafisk produktion 2","100","Grafisk produktion"
"GRFGRF03","Grafisk produktion 3","100","Grafisk produktion"
"GRFGRF04","Grafisk produktion 4","100","Grafisk produktion"
"GROGRO0","Grönyte- och småmaskinsteknik","100","Grönyte- och småmaskinsteknik"
"GRON1000X","Nivå 1","100","Grönyte- och småmaskinsteknik"
"GRUGRD0","Grundläggande vård och omsorg","100","Grundläggande vård och omsorg"
"GRUN1000X","Nivå 1","100","Grundläggande vård och omsorg"
"GRÄGRN0","Gränssnitt 3D","100","Gränssnittsdesign"
"GRÄGRÄ0","Gränssnittsdesign","100","Gränssnittsdesign"
"GUIN1000X","Nivå 1","100","Guidning i naturbruksmiljöer"
"GULM1000X","Nivå 1","100","Guldsmed – specialteknik"
"GULM2000X","Nivå 2","100","Guldsmed – specialteknik"
"GULM3000X","Nivå 3","100","Guldsmed – specialteknik"
"GULS1000X","Nivå 1","200","Guldsmed – fördjupning"
"GULS2000X","Nivå 2","200","Guldsmed – fördjupning"
"GULS3000X","Nivå 3","100","Guldsmed – fördjupning"
"GULS4000X","Nivå 4","100","Guldsmed – fördjupning"
"GULT1000X","Nivå 1","200","Guldsmed – teknik"
"GULT2000X","Nivå 2","200","Guldsmed – teknik"
"GULT3000X","Nivå 3","200","Guldsmed – teknik"
"GULT4000X","Nivå 4","200","Guldsmed – teknik"
"GYMN100TX","Nivå 1","200","Gymnasieingenjören i praktiken"
"GYNGYM3","Gymnasieingenjören i praktiken","200","Gymnasieingenjören i praktiken"
"HAAFRI0","Friskvård och hälsa","100","Hälsovård"
"HAAKOM0","Komplementärmedicin","100","Hälsovård"
"HAAKOS0","Kost, måltid och munhälsa","100","Hälsovård"
"HADE1N0","Nivå 1","100","Handel"
"HADE2N0","Nivå 2","100","Handel"
"HADE3N0","Nivå 3","100","Handel"
"HADHAN51","Handel 1","100","Handel"
"HADHAN52","Handel 2","100","Handel"
"HADHAN53","Handel 3","100","Handel"
"HADPRA5","Praktisk marknadsföring","100","Handel"
"HAEHAT51","Hantverkstekniker 1","100","Hantverkstekniker"
"HAEHAT52","Hantverkstekniker 2","200","Hantverkstekniker"
"HAEHAT53","Hantverkstekniker 3","200","Hantverkstekniker"
"HAKHAN5","Hantverk och produktion","200","Hantverk och produktion"
"HALA1000X","Nivå 1","100","Hållbar turism"
"HALA2000X","Nivå 2","100","Hållbar turism"
"HALB1000X","Nivå 1","100","Hållbart samhällsbyggande"
"HALB2000X","Nivå 2","100","Hållbart samhällsbyggande"
